Solar, nuclear, hep, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max
   8.3963000e+06   5.2733520e-04   1.0160619e-03
   8.4151000e+06   5.2787280e-04   1.0170978e-03
   8.4339000e+06   5.2839920e-04   1.0181120e-03
   8.4527000e+06   5.2892000e-04   1.0191155e-03
   8.4715000e+06   5.2942960e-04   1.0200974e-03
   8.4902000e+06   5.2993920e-04   1.0210793e-03
   8.5090000e+06   5.3043200e-04   1.0220288e-03
   8.5278000e+06   5.3091920e-04   1.0229675e-03
   8.5466000e+06   5.3140080e-04   1.0238955e-03
   8.5654000e+06   5.3187680e-04   1.0248126e-03
   8.5842000e+06   5.3233600e-04   1.0256974e-03
   8.6029000e+06   5.3279520e-04   1.0265822e-03
   8.6217000e+06   5.3324320e-04   1.0274454e-03
   8.6405000e+06   5.3368560e-04   1.0282978e-03
   8.6593000e+06   5.3411680e-04   1.0291286e-03
   8.6781000e+06   5.3454240e-04   1.0299487e-03
   8.6969000e+06   5.3495680e-04   1.0307471e-03
   8.7157000e+06   5.3536560e-04   1.0315348e-03
   8.7344000e+06   5.3576320e-04   1.0323009e-03
   8.7532000e+06   5.3615520e-04   1.0330562e-03
   8.7720000e+06   5.3654160e-04   1.0338007e-03
   8.7908000e+06   5.3691680e-04   1.0345236e-03
   8.8096000e+06   5.3728640e-04   1.0352358e-03
   8.8284000e+06   5.3764480e-04   1.0359263e-03
   8.8471000e+06   5.3799760e-04   1.0366061e-03
   8.8659000e+06   5.3833920e-04   1.0372643e-03
   8.8847000e+06   5.3867520e-04   1.0379117e-03
   8.9035000e+06   5.3900560e-04   1.0385483e-03
   8.9223000e+06   5.3932480e-04   1.0391633e-03
   8.9411000e+06   5.3963280e-04   1.0397568e-03
   8.9598000e+06   5.3994080e-04   1.0403502e-03
   8.9786000e+06   5.4023200e-04   1.0409113e-03
   8.9974000e+06   5.4051760e-04   1.0414616e-03
   9.0162000e+06   5.4079760e-04   1.0420011e-03
   9.0350000e+06   5.4106640e-04   1.0425190e-03
   9.0538000e+06   5.4132960e-04   1.0430261e-03
   9.0725000e+06   5.4158160e-04   1.0435117e-03
   9.0913000e+06   5.4182800e-04   1.0439864e-03
   9.1101000e+06   5.4206880e-04   1.0444504e-03
   9.1289000e+06   5.4229840e-04   1.0448928e-03
   9.1477000e+06   5.4251680e-04   1.0453136e-03
   9.1665000e+06   5.4272960e-04   1.0457236e-03
